,BD,BP,PR,SP,CH,ED,SENT,NAME
0,0,5,0,0,0,0,38,Alexander Ankvab
1,2,2,0,0,0,0,72,Raul Khajimba
2,2,4,0,0,0,0,44,Sergei Bagapsh
3,0,4,0,0,0,0,47,Vladislav Ardzinba
4,1,5,0,0,0,0,8,Abdul Rahim Hatif
5,0,20,0,4,2,0,102,Ashraf Ghani
6,2,2,0,0,0,0,287,Babrak Karmal
7,1,19,0,0,3,0,57,Burhanuddin Rabani
8,2,51,0,0,3,0,287,Hafizullah Amin
9,0,0,0,0,0,0,8,Haji Mohammad Chamkani
10,2,68,0,1,3,0,291,Hamid Karzai
11,1,37,0,0,0,0,260,Mohammad Najibullah
12,2,17,0,0,0,0,147,Nur Muhammad Taraki
13,1,18,0,0,0,0,39,Sibghatullah Mojaddedi
14,0,0,0,0,0,0,47,Alfred Moisiu
15,1,10,0,0,0,0,34,Bamir Topi
16,2,11,0,1,0,0,28,Bujar Nishani
17,1,26,0,2,0,0,91,Fatos Nano
18,2,21,0,3,5,0,51,Ilir Meta
19,2,8,0,0,0,0,21,Pandeli Majko
20,0,3,0,0,0,0,17,Rexhep Meidani
21,1,1,0,2,0,0,97,Sali Berisha
22,2,4,0,0,0,0,151,Abdelaziz Bouteflika
23,2,0,0,0,0,0,15,Abdelkader Bensalah
24,1,0,0,0,0,0,5,Abdelmalek Benhabyles
25,0,0,0,0,0,0,13,Ali Kafi
26,2,4,0,0,0,0,28,Chadli Bendjedid
27,2,0,0,1,0,0,61,Houari Boumediene
28,1,2,0,0,0,0,16,Liamine Zéroual
29,0,2,0,1,0,0,40,Mohamed Boudiaf
30,0,0,0,1,0,0,9,Rabah Bitat
31,1,25,0,8,18,0,86,José Eduardo dos Santos
32,1,5,0,1,0,0,33,João Lourenço
33,1,0,0,0,0,0,9,Lúcio Lara
34,1,0,0,2,0,0,98,Adolfo Rodríguez Saá
35,2,2,0,0,0,0,19,Alejandro Agustín Lanusse
36,0,0,0,0,0,0,4,Alfredo Oscar Saint Jean
37,1,0,0,3,0,0,243,Arturo Frondizi
38,1,6,0,3,0,0,91,Arturo Umberto Illia
39,1,0,0,0,0,0,8,Carlos Lacoste
40,1,12,0,1,2,0,263,Carlos Menem
41,2,33,0,23,1,0,375,Cristina Fernández de Kirchner
42,0,1,0,3,0,0,165,Eduardo Duhalde
43,2,1,0,0,0,0,11,Eduardo Lonardi
44,1,3,0,1,2,0,169,Fernando de la Rúa
45,1,4,0,0,0,0,33,Héctor José Cámpora
46,1,1,0,9,0,0,132,Isabel Martínez de Perón
47,1,3,0,1,21,0,148,Jorge Rafael Videla
48,1,0,0,0,0,0,9,José María Guido
49,0,0,0,2,0,0,27,Juan Carlos Onganía
50,2,0,0,39,0,0,520,Juan Perón
51,1,0,0,2,0,0,57,Leopoldo Galtieri
52,1,0,5,2,0,2,320,Mauricio Macri
53,2,0,0,19,0,0,336,Néstor Kirchner
54,1,0,0,0,0,0,43,Pedro Eugenio Aramburu
55,1,3,0,0,0,0,13,Raúl Alberto Lastiri
56,2,26,0,4,8,0,304,Raúl Alfonsín
57,1,0,0,1,1,0,52,Reynaldo Bignone
58,2,1,0,0,0,0,16,Roberto Eduardo Viola
59,0,0,0,1,3,0,8,Roberto M. Levingston
60,1,3,0,1,0,0,52,Armen Sarkissian
61,1,2,0,1,1,0,111,Levon Ter-Petrossian
62,1,3,0,1,5,0,70,Robert Kocharyan
63,2,4,0,2,0,0,123,Serzh Sargsyan
64,1,2,0,0,0,0,38,Adolf Schärf
65,1,11,4,1,0,0,155,Alexander Van der Bellen
66,0,0,0,0,0,0,85,Emperor of Austria
67,0,0,0,0,0,0,10,Franz Jonas
68,0,1,0,1,0,0,27,Heinz Fischer
69,1,1,0,0,0,0,54,Karl Renner
70,1,8,0,0,0,0,32,Karl Seitz
71,2,1,0,1,1,0,143,Kurt Waldheim
72,0,0,0,0,0,0,37,Leopold Figl
73,1,1,0,0,0,0,22,Michael Hainisch
74,1,2,0,1,0,0,29,Rudolf Kirchschläger
75,1,0,0,0,0,0,20,Theodor Körner (Austrian president)
76,1,7,0,1,0,0,23,Thomas Klestil
77,0,1,0,0,0,0,35,Wilhelm Miklas
78,0,0,0,0,0,0,35,Abulfaz Elchibey
79,1,4,0,1,0,0,17,Ayaz Mutallibov
80,0,15,0,2,4,0,119,Heydar Aliyev
81,2,28,0,3,9,0,337,Ilham Aliyev
82,1,2,0,1,0,0,17,Isa Gambar
83,1,1,0,0,2,0,37,A. Q. M. Badruddoza Chowdhury
84,1,1,0,0,0,0,28,Abdul Hamid (politician)
85,2,1,0,0,0,0,24,Fakhruddin Ahmed
86,1,0,0,0,0,0,7,Fazlul Haque (judge)
87,1,3,0,6,0,0,212,Hussain Muhammad Ershad
88,2,4,0,1,0,0,73,Iajuddin Ahmed
89,0,2,0,0,8,0,163,Khaleda Zia
90,2,0,0,0,0,0,12,Latifur Rahman
91,0,1,0,0,0,0,27,Muhammad Jamiruddin Sircar
92,1,0,0,2,0,0,10,Rowshan Ershad
93,2,1,0,0,0,0,37,Shahabuddin Ahmed
94,2,2,4,4,4,0,214,Sheikh Hasina
95,2,2,0,3,0,0,70,Zillur Rahman
96,1,4,0,3,9,0,227,Alexander Lukashenko
97,1,0,0,0,0,0,11,Christophe Soglo
98,1,49,0,0,0,0,335,Hubert Maga
99,2,22,0,0,0,0,154,Justin Ahomadégbé-Tomêtin
100,1,2,0,0,0,0,83,Mathieu Kérékou
101,1,2,0,1,0,0,35,Patrice Talon
102,2,29,0,0,0,0,174,Sourou-Migan Apithy
103,0,2,0,1,0,0,41,Thomas Boni Yayi
104,1,5,0,0,0,0,15,Alberto Natusch
105,1,10,0,0,0,0,37,Carlos Mesa
106,0,2,0,0,0,0,17,Celso Torrelio
107,2,1,0,0,0,0,17,David Padilla
108,1,2,0,0,0,0,17,Eduardo Rodríguez
109,0,0,1,0,0,0,405,Evo Morales
110,1,31,0,0,0,0,138,Gonzalo Sánchez de Lozada
111,0,8,0,0,0,0,17,Guido Vildoso
112,1,5,0,0,0,0,65,Hernán Siles Zuazo
113,1,5,0,0,0,0,86,Hugo Banzer
114,1,5,0,0,0,0,71,Jaime Paz Zamora
115,2,2,0,0,0,0,23,Juan Pereda
116,1,9,0,0,0,0,32,Lidia Gueiler
117,1,6,0,0,0,0,43,Luis García Meza
118,0,4,0,0,0,0,64,Víctor Paz Estenssoro
119,2,7,0,0,0,0,36,Wálter Guevara
120,1,0,0,1,0,0,23,Festus Mogae
121,0,1,4,0,0,0,66,Ian Khama
